ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,18,18,12,,,,,,,,,,,,,78.5347559999791,None,78.5347559999791,None,79.53486249997513,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-2.BMP,0.4,,1,0,1,0,0,19,19,11,,,,,,,,,,,,,79.73983370000497,None,79.73983370000497,None,80.75170789996628,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,-0.1,Rating\ratingCS+2.png,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,82.26008009997895,None,82.26008009997895,None,2.15625,6.573714500002097,82.26008009997895,None,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,0.4,Rating\ratingCS-2.png,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,90.2870508999913,None,90.2870508999913,None,1.71875,0.5558006000355817,90.2870508999913,None,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,0,0,17,,,,,,,,,,,,,90.83587559999432,None,90.83587559999432,None,91.83669139997801,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,1,1,9,,,,,,,,,,,,,92.20136830001138,None,92.20136830001138,None,93.20059789996594,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,2,2,12,,,,,,,,,,,,,93.27834219997749,None,93.27834219997749,None,94.2850036000018,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,3,3,16,,,,,,,,,,,,,94.43656489998102,None,94.43656489998102,None,95.43432699999539,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,4,4,5,,,,,,,,,,,,,95.84434129996225,None,95.84434129996225,None,96.85244230000535,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,5,5,13,,,,,,,,,,,,,96.96743289998267,None,96.96743289998267,None,97.96657629997935,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,6,6,15,,,,,,,,,,,,,98.1169173999806,None,98.1169173999806,None,99.11728209996363,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,7,7,6,,,,,,,,,,,,,99.18375409999862,None,99.18375409999862,None,100.1838609999977,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,8,8,3,,,,,,,,,,,,,100.35001080000075,None,100.35001080000075,None,101.35279689996969,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,9,9,10,,,,,,,,,,,,,101.51702959998511,None,101.51702959998511,None,102.51834010001039,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,10,10,18,,,,,,,,,,,,,102.73487849999219,None,102.73487849999219,None,103.73431580001488,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,11,11,7,,,,,,,,,,,,,104.09289149998222,None,104.09289149998222,None,105.10139779996825,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,12,12,4,,,,,,,,,,,,,105.23835900000995,None,105.23835900000995,None,106.25172459997702,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,13,13,14,,,,,,,,,,,,,106.37685110000893,None,106.37685110000893,None,107.38355620001676,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,14,14,8,,,,,,,,,,,,,107.46602739999071,None,107.46602739999071,None,108.46605119999731,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,15,15,11,,,,,,,,,,,,,108.59971689997474,None,108.59971689997474,None,109.60197989997687,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,16,16,2,,,,,,,,,,,,,109.73453010001685,None,109.73453010001685,None,110.73394720000215,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,17,17,0,,,,,,,,,,,,,110.87066209997283,None,110.87066209997283,None,111.88349929999094,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS+3.BMP,-0.1,,2,0,2,0,0,18,18,1,,,,,,,,,,,,,112.0493773999624,None,112.0493773999624,None,113.04867769998964,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
Extinction\CS-3.BMP,0.4,,2,0,2,0,0,19,19,19,,,,,,,,,,,,,113.16879089997383,None,113.16879089997383,None,114.18258319998858,None,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,-0.1,Rating\ratingCS+3.png,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,115.75227140000788,None,115.75227140000788,None,1.828125,5.217636899964418,115.75227140000788,None,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,0.4,Rating\ratingCS-3.png,2,0,2,0,,,,,0,1,1,1,,,,,,,,,,,,,,,122.52493879996473,None,122.52493879996473,None,2.0,0.7537878999719396,122.52493879996473,None,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1627,FigureTest,2021.2.1,60.10706270361948,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.1583562999731,None,,,,,,,
