PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,Session_Condition.thisRepN,Session_Condition.thisTrialN,Session_Condition.thisN,Session_Condition.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,CSBkg.stopped,CS_image.stopped,sound_1.stopped,UCSBkg.stopped,UCS_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-0.1,,Condition/CS+1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,17,17,2,,,,,,,,,,,,,443.4155636249925,451.59475345897954,,,,,,,,,,,,,435.5532804169925,435.5532804169925,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,18,18,27,,,,,,,,,,,,,459.4095740420162,467.6058738749707,,,,,,,,,,,,,451.59475345897954,451.59475345897954,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,19,19,6,,,,,,,,,,,,,474.6123825419927,483.08463670901256,,,,,,,,,,,,,467.6058738749707,467.6058738749707,473.7066754999687,473.7066754999687,473.69642647519936,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,20,20,26,,,,,,,,,,,,,490.89255212497665,499.1890279999934,,,,,,,,,,,,,483.08463670901256,483.08463670901256,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,21,21,18,,,,,,,,,,,,,507.0432315840153,515.3745837499737,,,,,,,,,,,,,499.1890279999934,499.1890279999934,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.9,,Condition/CS+1.BMP,Condition/UCS1.BMP,Sound/scream1.wav,0,0,0,0,,,,,,,,,0,22,22,10,,,,,,,,,,,,,522.362834333966,530.4835844999761,,,,,,,,,,,,,515.3745837499737,515.3745837499737,521.4451801250107,521.4451801250107,521.4481282499619,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,23,23,19,,,,,,,,,,,,,538.2202319169883,546.4523434169823,,,,,,,,,,,,,530.4835844999761,530.4835844999761,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,24,24,15,,,,,,,,,,,,,554.3423242089921,562.8245416249847,,,,,,,,,,,,,546.4523434169823,546.4523434169823,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,25,25,16,,,,,,,,,,,,,570.6416430419777,578.8575652089785,,,,,,,,,,,,,562.8245416249847,562.8245416249847,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
,0.4,,Condition/CS-1.BMP,Condition/black.PNG,Sound/silent.wav,0,0,0,0,,,,,,,,,0,26,26,17,,,,,,,,,,,,,586.7601142500062,594.9921149589936,,,,,,,,,,,,,578.8575652089785,578.8575652089785,,,,,,,,,k,001,2022-12-06_13h23.33.040,FigureTest,2022.2.4,59.92072512804996,
