PreCondName,TrgCol,ratingName_EN,ratingName_CN,CSName,UCSName,SoundName,ExtName,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg.started,TagFig.started,InstrKeyResp.started,InstrKeyResp.keys,InstrKeyResp.rt,precondBkg.started,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,image.started,Scale.started,Scale.response,Scale.rt,fearRating.keys,fearRating.rt,InstrBkg2.started,TagFig2.started,key_resp.started,key_resp.keys,key_resp.rt,CSBkg.started,CS_image.started,UCSBkg.started,UCS_image.started,sound_1.started,InstrBkg3.started,TagFig3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,ExtBkg.started,Ext_image.started,EndTxt.started,participant,session,date,expName,psychopyVersion,frameRate,
Stimuli/CS+4.BMP,0.4,,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,206.45433016700554,206.45433016700554,212.43948054200155,212.45364708300622,216.72417462500744,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+1.BMP,0.4,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,216.72417462500744,216.72417462500744,222.7102307919995,222.7241428749985,226.81063145800726,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+1.BMP,0.4,,,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,226.81063145800726,226.81063145800726,232.78120641699934,232.79402833299537,236.89293275000819,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+4.BMP,0.4,,,,,,,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,236.89293275000819,236.89293275000819,242.878699125009,242.8916698749963,247.08431958300935,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,247.08431958300935,247.08431958300935,253.06902591700782,253.0829439579975,257.4176325419976,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
Stimuli/CS+3.BMP,-0.1,,,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,257.4176325419976,257.4176325419976,263.4070279580046,263.41971800000465,267.6640449580009,,,,,,,,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,-0.1,Instructions_EN/ratingCS+1.png,Instructions_CN/ratingCS+1.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,267.6640449580009,267.6640449580009,267.6640449580009,None,None,2,11.019576832986786,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,Instructions_EN/ratingCS+3.png,Instructions_CN/ratingCS+3.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,278.79871083299804,278.79871083299804,278.79871083299804,None,None,2,5.077519458995084,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,-0.1,Instructions_EN/ratingCS+4.png,Instructions_CN/ratingCS+4.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,283.91746416699607,283.91746416699607,283.91746416699607,None,None,2,1.6849005830008537,,,,,,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.6277586250071,285.6277586250071,285.6277586250071,space,474.2427942909999,,,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,-0.1,,,Stimuli/CS+4.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,0,0,30,,,,,,,,,,,,,,,,,,,,,768.4389440829982,772.5537033330038,,,,,,,,,,,,,760.1549931250047,760.1549931250047,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,779.5438794170041,783.6331225830072,,,,,,,,,,,,,772.5537033330038,772.5537033330038,778.672613667004,778.672613667004,778.6644996250106,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,2,2,16,,,,,,,,,,,,,,,,,,,,,791.6727168750076,795.9859702079993,,,,,,,,,,,,,783.6331225830072,783.6331225830072,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,802.9802145830035,807.1054908750084,,,,,,,,,,,,,795.9859702079993,795.9859702079993,802.0406249579974,802.0406249579974,802.0464438670082,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,4,4,28,,,,,,,,,,,,,,,,,,,,,815.2195000000065,819.6229843750043,,,,,,,,,,,,,807.1054908750084,807.1054908750084,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,5,5,19,,,,,,,,,,,,,,,,,,,,,827.7005164580041,831.8247202920029,,,,,,,,,,,,,819.6229843750043,819.6229843750043,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,6,6,34,,,,,,,,,,,,,,,,,,,,,838.8210887919995,842.9995884170057,,,,,,,,,,,,,831.8247202920029,831.8247202920029,837.9258386669972,837.9258386669972,837.9143391000135,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,-0.1,,,Stimuli/CS+1.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,851.0923972500023,855.435373750006,,,,,,,,,,,,,842.9995884170057,842.9995884170057,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,8,8,29,,,,,,,,,,,,,,,,,,,,,863.5162649580016,867.7334844169964,,,,,,,,,,,,,855.435373750006,855.435373750006,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,9,9,35,,,,,,,,,,,,,,,,,,,,,874.7286104170053,879.0298635000072,,,,,,,,,,,,,867.7334844169964,867.7334844169964,873.8069495000091,873.8069495000091,873.7949779500108,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,10,10,18,,,,,,,,,,,,,,,,,,,,,887.1766783330095,891.2279288330028,,,,,,,,,,,,,879.0298635000072,879.0298635000072,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,898.2170669580082,902.3949943330081,,,,,,,,,,,,,891.2279288330028,891.2279288330028,897.2938237500057,897.2938237500057,897.2974323170026,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,909.3954695830034,913.466335457997,,,,,,,,,,,,,902.3949943330081,902.3949943330081,908.397368667007,908.397368667007,908.3950403670082,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,13,13,33,,,,,,,,,,,,,,,,,,,,,920.4661406670057,924.5240418750036,,,,,,,,,,,,,913.466335457997,913.466335457997,919.4678057080018,919.4678057080018,919.4659598670027,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,14,14,25,,,,,,,,,,,,,,,,,,,,,932.7169436249969,936.8986279999954,,,,,,,,,,,,,924.5240418750036,924.5240418750036,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,15,15,27,,,,,,,,,,,,,,,,,,,,,945.0225987500016,949.1174581670057,,,,,,,,,,,,,936.8986279999954,936.8986279999954,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,957.1529610419966,961.3461727079994,,,,,,,,,,,,,949.1174581670057,949.1174581670057,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,17,17,14,,,,,,,,,,,,,,,,,,,,,968.3384517920058,972.4219778330007,,,,,,,,,,,,,961.3461727079994,961.3461727079994,967.4067640830035,967.4067640830035,967.4053014920122,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,18,18,41,,,,,,,,,,,,,,,,,,,,,979.4226966669958,983.5857303329976,,,,,,,,,,,,,972.4219778330007,972.4219778330007,978.4318271670054,978.4318271670054,978.4362439420045,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,19,19,40,,,,,,,,,,,,,,,,,,,,,990.5866191670066,994.753400667003,,,,,,,,,,,,,983.5857303329976,983.5857303329976,989.5909599580045,989.5909599580045,989.5871223670023,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,20,20,3,,,,,,,,,,,,,,,,,,,,,1001.7516621249961,1005.8489872500068,,,,,,,,,,,,,994.753400667003,994.753400667003,1000.7556849579996,1000.7556849579996,1000.7525369499984,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+4.BMP,Stimuli/UCS4.BMP,Sound/laugh1.wav,,,,,,,,,,0,21,21,37,,,,,,,,,,,,,,,,,,,,,1012.8496929170069,1016.9751562080055,,,,,,,,,,,,,1005.8489872500068,1005.8489872500068,1011.8514817499963,1011.8514817499963,1011.8496839500061,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,1025.0397383329982,1029.2116892920021,,,,,,,,,,,,,1016.9751562080055,1016.9751562080055,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,-0.1,,,Stimuli/CS+1.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,23,23,0,,,,,,,,,,,,,,,,,,,,,1037.4422437920002,1041.503081917006,,,,,,,,,,,,,1029.2116892920021,1029.2116892920021,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.4,,,Stimuli/CS+3.BMP,Stimuli/black.PNG,Sound/silent.wav,,,,,,,,,,0,24,24,21,,,,,,,,,,,,,,,,,,,,,1049.5928196669993,1053.7311997500074,,,,,,,,,,,,,1041.503081917006,1041.503081917006,,,,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
,0.9,,,Stimuli/CS+1.BMP,Stimuli/UCS1.BMP,Sound/scream1.wav,,,,,,,,,,0,25,25,9,,,,,,,,,,,,,,,,,,,,,1060.721575625008,1065.2029202080012,,,,,,,,,,,,,1053.7311997500074,1053.7311997500074,1059.8273168330052,1059.8273168330052,1059.8152186420077,,,,,,,,,2023_31_01_Shaoxun,001,2023-01-31_16h43.14.738,FigureTest,2022.2.4,74.38087203024789,
