PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PreCond1.thisRepN,PreCond1.thisTrialN,PreCond1.thisN,PreCond1.thisIndex,RatingPreCond1.thisRepN,RatingPreCond1.thisTrialN,RatingPreCond1.thisN,RatingPreCond1.thisIndex,Cond1.thisRepN,Cond1.thisTrialN,Cond1.thisN,Cond1.thisIndex,RatingCond1.thisRepN,RatingCond1.thisTrialN,RatingCond1.thisN,RatingCond1.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,0,0,24,,,,,,,,,,,,,,,,,87.33192680001957,None,,,,,,,,,78.85151649999898,None,78.85151649999898,None,space,2.982421299966518,78.85151649999898,None,81.89074589998927,None,81.89074589998927,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,91.6959112000186,None,,,,,,,,,,,,,,,,,88.6631241000141,None,88.6631241000141,None,91.67454520001775,None,91.67454520001775,None,91.61369067991619,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,,,95.84236900001997,None,,,,,,,,,,,,,,,,,92.84736680000788,None,92.84736680000788,None,94.96173899999121,None,94.96173899999121,None,94.96287968000398,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,102.35093840002082,None,,,,,,,,,,,,,,,,,96.88136449997546,None,96.88136449997546,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,106.59115429996746,None,,,,,,,,,,,,,,,,,103.5665125999949,None,103.5665125999949,None,105.67709989997093,None,105.67709989997093,None,105.68341567998287,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,5,5,18,,,,,,,,,,,,,,,,,113.32950759999221,None,,,,,,,,,,,,,,,,,107.88729490002152,None,107.88729490002152,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,6,6,17,,,,,,,,,,,,,,,,,117.50427709997166,None,,,,,,,,,,,,,,,,,114.41879680001875,None,114.41879680001875,None,117.43123980000382,None,117.43123980000382,None,117.36885797991418,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,7,7,12,,,,,,,,,,,,,,,,,121.66029769997112,None,,,,,,,,,,,,,,,,,118.66218539996771,None,118.66218539996771,None,120.77339749998646,None,120.77339749998646,None,120.78464827997378,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,125.93425250001019,None,,,,,,,,,,,,,,,,,122.84591969999019,None,122.84591969999019,None,124.86880799999926,None,124.86880799999926,None,124.8769181199954,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,9,9,20,,,,,,,,,,,,,,,,,132.50781350000761,None,,,,,,,,,,,,,,,,,127.05607340001734,None,127.05607340001734,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,10,10,25,,,,,,,,,,,,,,,,,136.65353010001127,None,,,,,,,,,,,,,,,,,133.60740179999266,None,133.60740179999266,None,136.6138564000139,None,136.6138564000139,None,136.5410125699185,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,0,0,0,0,,,,,,,,,0,11,11,7,,,,,,,,,,,,,,,,,140.92763799999375,None,,,,,,,,,,,,,,,,,137.89660269999877,None,137.89660269999877,None,140.0083786000032,None,140.0083786000032,None,140.01925227997125,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,-0.1,,Condition\CS+1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,12,12,2,,,,,,,,,,,,,,,,,147.56483200000366,None,,,,,,,,,,,,,,,,,142.128240799997,None,142.128240799997,None,None,None,None,None,None,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,0,0,0,0,,,,,,,,,0,13,13,19,,,,,,,,,,,,,,,,,151.91636819997802,None,,,,,,,,,,,,,,,,,148.88292780000484,None,148.88292780000484,None,151.89587539999047,None,151.89587539999047,None,151.83161697993054,None,hyz1102,001,2021_Nov_02_1133,FigureTest,2021.2.1,59.92042568263299,
