PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,1049.256665199995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.2547257000115,None,1043.2547257000115,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,1061.555222199997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.554830899986,None,1055.554830899986,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,1073.788091399998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.7880416000262,None,1067.7880416000262,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,1086.2694181000115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.2692546999897,None,1080.2692546999897,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,1098.4345089999842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.4190869000158,None,1092.4190869000158,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,1110.6669129999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.6676865000045,None,1104.6676865000045,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,1123.0655600000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.0656729000038,None,1117.0656729000038,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,1135.1816243000212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.1812004999956,None,1129.1812004999956,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,1147.3962571999873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.3965279000113,None,1141.3965279000113,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,,,1159.5950475999853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.5800196999917,None,1153.5800196999917,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,10,10,2,,,,,,,,,,,,,,,,,1171.8773942000116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165.8772434000275,None,1165.8772434000275,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,1184.225702900032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.2261192000005,None,1178.2261192000005,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,12,12,8,,,,,,,,,,,,,,,,,1196.3247233000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.3247712000157,None,1190.3247712000157,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,13,13,12,,,,,,,,,,,,,,,,,1208.6234593000263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.6247033000109,None,1202.6247033000109,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,14,14,10,,,,,,,,,,,,,,,,,1220.8561689000344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.856203000003,None,1214.856203000003,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,15,15,9,,,,,,,,,,,,,,,,,1233.0212250000332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.0216089999885,None,1227.0216089999885,None,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,-0.1,Rating\ratingCS+.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,1240.4452812999953,None,1240.4452812999953,None,2.859375,4.367637399991509,1240.4452812999953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
,0.4,Rating\ratingCS-.png,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,1245.6683023999794,None,1245.6683023999794,None,2.0625,1.8538902000291273,1245.6683023999794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1025,001,2021_Oct_25_1909,FigureTest,2021.2.1,59.800243257059016,
