PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong.thisRepN,PreConditiong.thisTrialN,PreConditiong.thisN,PreConditiong.thisIndex,Rating1.thisRepN,Rating1.thisTrialN,Rating1.thisN,Rating1.thisIndex,Conditioning.thisRepN,Conditioning.thisTrialN,Conditioning.thisN,Conditioning.thisIndex,Rating2.thisRepN,Rating2.thisTrialN,Rating2.thisN,Rating2.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,300.9890450999992,None,,,,,,,,,,,,,,,,,292.3364954999997,None,292.3364954999997,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,313.16485609999654,None,,,,,,,,,,,,,,,,,307.10804129999815,None,307.10804129999815,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,325.6076288999975,None,,,,,,,,,,,,,,,,,319.53494269999646,None,319.53494269999646,None,324.621199899997,None,324.621199899997,None,324.6189172199978,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0,,Condition\CS+.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,340.53074959999867,None,,,,,,,,,,,,,,,,,331.89284209999823,None,331.89284209999823,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,353.01820379999845,None,,,,,,,,,,,,,,,,,346.9037103999981,None,346.9037103999981,None,352.951308599997,None,352.951308599997,None,352.88454622999376,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,365.258559599999,None,,,,,,,,,,,,,,,,,359.1391885999983,None,359.1391885999983,None,365.1749193999967,None,365.1749193999967,None,365.11053302999386,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,377.44307019999906,None,,,,,,,,,,,,,,,,,371.42999879999843,None,371.42999879999843,None,376.5362884999995,None,376.5362884999995,None,376.52954698999633,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,389.91001609999876,None,,,,,,,,,,,,,,,,,383.8735530999984,None,383.8735530999984,None,388.8733407999971,None,388.8733407999971,None,388.87350916999674,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,17,17,11,,,,,,,,,,,,,,,,,,,,,,,,,404.7981579999978,None,,,,,,,,,,,,,,,,,396.17317489999914,None,396.17317489999914,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,Condition\CS+.PNG,Condition\UCS.PNG,Sound\scream1.wav,,,,,,,,,,0,18,18,6,,,,,,,,,,,,,,,,,,,,,,,,,417.1799272999997,None,,,,,,,,,,,,,,,,,411.1324842999966,None,411.1324842999966,None,416.2414220999999,None,416.2414220999999,None,416.249372559999,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,Condition\CS-.PNG,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,432.1071609999999,None,,,,,,,,,,,,,,,,,423.4677890999992,None,423.4677890999992,None,None,None,None,None,None,None,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,Rating\ratingCS+.png,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,439.4078032999969,None,439.4078032999969,None,7.25,34.38141840000026,439.4078032999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,Rating\ratingCS-.png,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,474.7941355999974,None,474.7941355999974,None,3.3828125,1.1009013000002597,474.7941355999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.87007849999645,None,475.87007849999645,None,space,4.38993660000051,475.87007849999645,None,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,486.27757839999686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.2783169999966,None,480.2783169999966,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,498.4104625999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.41011660000004,None,492.41011660000004,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,510.5423219999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.5416682999967,None,504.5416682999967,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,522.5738534999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.5741175999974,None,516.5741175999974,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,534.7228681999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.7232033,None,528.7232033,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,546.9547763999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.9558534999996,None,540.9558534999996,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,559.2700768999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.2705730999987,None,553.2705730999987,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,571.6025726999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.6026083999968,None,565.6026083999968,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,,,,,Extinction\CS+.PNG,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,,,583.870735499997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.8521122999991,None,577.8521122999991,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,,,,,Extinction\CS-.PNG,,,,,,,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,,,596.1020132999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.1008797999966,None,590.1008797999966,None,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,-0.1,Rating\ratingCS+.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,603.404776899999,None,603.404776899999,None,1.859375,66.563779600001,603.404776899999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,0.4,Rating\ratingCS-.png,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,671.0752563999995,None,671.0752563999995,None,2.9609375,1.506591199999093,671.0752563999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huangyz,001,2021_Aug_05_1741,FigureTest,2021.2.1,59.836992066234245,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.4638760999987,None,,,,,,,
