PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,PreConditiong1.thisRepN,PreConditiong1.thisTrialN,PreConditiong1.thisN,PreConditiong1.thisIndex,RatingPreCond1.thisRepN,RatingPreCond1.thisTrialN,RatingPreCond1.thisN,RatingPreCond1.thisIndex,Conditioning1.thisRepN,Conditioning1.thisTrialN,Conditioning1.thisN,Conditioning1.thisIndex,RatingCond1.thisRepN,RatingCond1.thisTrialN,RatingCond1.thisN,RatingCond1.thisIndex,Extinction1.thisRepN,Extinction1.thisTrialN,Extinction1.thisN,Extinction1.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.77595810001367,None,238.77595810001367,None,space,13.349845299992012,238.77595810001367,None,,,,,,,,,,,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,261.69984810001915,None,,,,,,,,,,,,,,,,,252.1743386000162,None,252.1743386000162,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,276.8787738000101,None,,,,,,,,,,,,,,,,,269.81532720001996,None,269.81532720001996,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,292.09442900001886,None,,,,,,,,,,,,,,,,,285.0324971000082,None,285.0324971000082,None,292.07185050001135,None,292.07185050001135,None,291.99994885005873,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,307.25095380001585,None,,,,,,,,,,,,,,,,,300.21706220001215,None,300.21706220001215,None,306.3331839000166,None,306.3331839000166,None,306.34216560000783,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,325.1142078000121,None,,,,,,,,,,,,,,,,,315.5403766000236,None,315.5403766000236,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,340.2831925000064,None,,,,,,,,,,,,,,,,,333.26966489999904,None,333.26966489999904,None,339.3693836000166,None,339.3693836000166,None,339.3791773000208,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,355.5976149000053,None,,,,,,,,,,,,,,,,,348.5550014000037,None,348.5550014000037,None,354.58112220000476,None,354.58112220000476,None,354.5904277500172,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,,,,,,,,,0,7,7,24,,,,,,,,,,,,,,,,,,,,,,,,,373.41731119999895,None,,,,,,,,,,,,,,,,,363.87513640002,None,363.87513640002,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,,,,,,,,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,,,,,388.7393508000241,None,,,,,,,,,,,,,,,,,381.71714990001055,None,381.71714990001055,None,387.8142131000059,None,387.8142131000059,None,387.8159043500258,None,,,,,,,,,,,,,,,hyz1101,001,2021_Nov_01_1643,FigureTest,2021.2.1,59.6283010211765,
