PreCondName,TrgCol,ratingName,CSName,UCSName,SoundName,ExtName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PreCond.thisRepN,PreCond.thisTrialN,PreCond.thisN,PreCond.thisIndex,RatingPreCond.thisRepN,RatingPreCond.thisTrialN,RatingPreCond.thisN,RatingPreCond.thisIndex,Cond.thisRepN,Cond.thisTrialN,Cond.thisN,Cond.thisIndex,RatingCond.thisRepN,RatingCond.thisTrialN,RatingCond.thisN,RatingCond.thisIndex,Extinction1.thisRepN,Extinction1.thisTrialN,Extinction1.thisN,Extinction1.thisIndex,Rating3.thisRepN,Rating3.thisTrialN,Rating3.thisN,Rating3.thisIndex,InstrBkg.started,InstrBkg.stopped,TagFig.started,TagFig.stopped,InstrKeyResp.keys,InstrKeyResp.rt,InstrKeyResp.started,InstrKeyResp.stopped,precondBkg.started,precondBkg.stopped,imagePreCond.started,imagePreCond.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,InstrBkg2.started,InstrBkg2.stopped,TagFig2.started,TagFig2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,CSBkg.started,CSBkg.stopped,CS_image.started,CS_image.stopped,UCSBkg.started,UCSBkg.stopped,UCS_image.started,UCS_image.stopped,sound_1.started,sound_1.stopped,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,EndTxt.started,EndTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,,,208.88873330003116,None,,,,,,,,,,,,,,,,,205.87093300005654,None,205.87093300005654,None,207.99327330000233,None,207.99327330000233,None,208.0029999400722,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,18,18,15,,,,,,,,,,,,,,,,,,,,,,,,,215.4762456000317,None,,,,,,,,,,,,,,,,,209.96944300003815,None,209.96944300003815,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,19,19,28,,,,,,,,,,,,,,,,,,,,,,,,,219.7905507000396,None,,,,,,,,,,,,,,,,,216.7091862000525,None,216.7091862000525,None,219.71861580002587,None,219.71861580002587,None,219.66110574017512,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,20,20,9,,,,,,,,,,,,,,,,,,,,,,,,,223.8661104000057,None,,,,,,,,,,,,,,,,,220.86573650001083,None,220.86573650001083,None,222.96001320000505,None,222.96001320000505,None,222.95622731006006,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,21,21,25,,,,,,,,,,,,,,,,,,,,,,,,,230.52274660003604,None,,,,,,,,,,,,,,,,,224.9856549000251,None,224.9856549000251,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,22,22,3,,,,,,,,,,,,,,,,,,,,,,,,,234.93746630003443,None,,,,,,,,,,,,,,,,,231.92774830001872,None,231.92774830001872,None,234.0464903000393,None,234.0464903000393,None,234.05375644005835,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,23,23,16,,,,,,,,,,,,,,,,,,,,,,,,,241.79261680005584,None,,,,,,,,,,,,,,,,,236.2979086000123,None,236.2979086000123,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,24,24,27,,,,,,,,,,,,,,,,,,,,,,,,,245.94515090005007,None,,,,,,,,,,,,,,,,,242.9022193000419,None,242.9022193000419,None,245.91428520000773,None,245.91428520000773,None,245.8350538101513,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,25,25,12,,,,,,,,,,,,,,,,,,,,,,,,,250.02459750004346,None,,,,,,,,,,,,,,,,,247.0269588000374,None,247.0269588000374,None,249.13740940002026,None,249.13740940002026,None,249.13496431004023,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,26,26,29,,,,,,,,,,,,,,,,,,,,,,,,,256.7077705000411,None,,,,,,,,,,,,,,,,,251.1787406000076,None,251.1787406000076,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,27,27,13,,,,,,,,,,,,,,,,,,,,,,,,,261.0461684000329,None,,,,,,,,,,,,,,,,,258.04312780004693,None,258.04312780004693,None,260.15658750000875,None,260.15658750000875,None,260.1526242100517,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.4,,Condition\CS-1.BMP,Condition\black.PNG,Sound\silent.wav,,0,0,0,0,,,,,,,,,0,28,28,17,,,,,,,,,,,,,,,,,,,,,,,,,267.835827300034,None,,,,,,,,,,,,,,,,,262.3326974000083,None,262.3326974000083,None,None,None,None,None,None,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,0.9,,Condition\CS+1.BMP,Condition\UCS1.BMP,Sound\scream1.wav,,0,0,0,0,,,,,,,,,0,29,29,6,,,,,,,,,,,,,,,,,,,,,,,,,272.21375520003494,None,,,,,,,,,,,,,,,,,269.1601229000371,None,269.1601229000371,None,271.2789683000301,None,271.2789683000301,None,271.28520624001976,None,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
,-0.1,Rating\ratingCS+1.png,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,274.7895274000475,None,274.7895274000475,None,5.6796875,2.9676375999697484,274.7895274000475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyz1102,001,2021_Nov_02_1458,FigureTest,2021.2.1,60.05241375433173,
