ExtName,TrgCol,ratingName,Session_Extinction.thisRepN,Session_Extinction.thisTrialN,Session_Extinction.thisN,Session_Extinction.thisIndex,Extinction.thisRepN,Extinction.thisTrialN,Extinction.thisN,Extinction.thisIndex,RatingExt.thisRepN,RatingExt.thisTrialN,RatingExt.thisN,RatingExt.thisIndex,InstrBkg3.started,InstrBkg3.stopped,TagFig3.started,TagFig3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ExtBkg.started,ExtBkg.stopped,Ext_image.started,Ext_image.stopped,BlankBkg.started,BlankBkg.stopped,Bkg.started,Bkg.stopped,image.started,image.stopped,Scale.response,Scale.rt,Scale.started,Scale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,62.8740884999861,None,62.8740884999861,None,63.870345500006806,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,9,9,4,,,,,,,,,,,,,64.02245299995411,None,64.02245299995411,None,65.03647839999758,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,10,10,9,,,,,,,,,,,,,65.16966189997038,None,65.16966189997038,None,66.17144339997321,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,11,11,10,,,,,,,,,,,,,66.29696569999214,None,66.29696569999214,None,67.28887270000996,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,12,12,13,,,,,,,,,,,,,67.54602449998492,None,67.54602449998492,None,68.5533817000105,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,13,13,7,,,,,,,,,,,,,68.66506199998548,None,68.66506199998548,None,69.6539092999883,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,14,14,3,,,,,,,,,,,,,69.72192759998143,None,69.72192759998143,None,70.73630519997096,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,15,15,2,,,,,,,,,,,,,70.83683859999292,None,70.83683859999292,None,71.83698729996104,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS+1.BMP,-0.1,,1,0,1,0,0,16,16,0,,,,,,,,,,,,,71.99292389996117,None,71.99292389996117,None,73.00202590000117,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
Extinction\CS-1.BMP,0.4,,1,0,1,0,0,17,17,15,,,,,,,,,,,,,73.13000820000889,None,73.13000820000889,None,74.11910229997011,None,,,,,,,,,hyz1102,001,2021_Nov_02_1624,FigureTest,2021.2.1,59.80657357596314,
